player_key,player_id,editorial_player_key,player_name
466.p.3704,3704,nba.p.3704,LeBron James
466.p.3930,3930,nba.p.3930,Chris Paul
466.p.4152,4152,nba.p.4152,Kyle Lowry
466.p.4163,4163,nba.p.4163,P.J. Tucker
466.p.4244,4244,nba.p.4244,Kevin Durant
466.p.4245,4245,nba.p.4245,Al Horford
466.p.4246,4246,nba.p.4246,Mike Conley
466.p.4247,4247,nba.p.4247,Jeff Green
466.p.4390,4390,nba.p.4390,Russell Westbrook
466.p.4391,4391,nba.p.4391,Kevin Love
466.p.4469,4469,nba.p.4469,Eric Gordon
466.p.4472,4472,nba.p.4472,Brook Lopez
466.p.4487,4487,nba.p.4487,Nicolas Batum
466.p.4497,4497,nba.p.4497,DeAndre Jordan
466.p.4563,4563,nba.p.4563,James Harden
466.p.4612,4612,nba.p.4612,Stephen Curry
466.p.4614,4614,nba.p.4614,DeMar DeRozan
466.p.4621,4621,nba.p.4621,James Johnson
466.p.4622,4622,nba.p.4622,Jrue Holiday
466.p.4631,4631,nba.p.4631,Taj Gibson
466.p.4660,4660,nba.p.4660,Patty Mills
466.p.4682,4682,nba.p.4682,Garrett Temple
466.p.4725,4725,nba.p.4725,Paul George
466.p.4840,4840,nba.p.4840,Kyrie Irving
466.p.4884,4884,nba.p.4884,Tristan Thompson
